index,product_id,name,price,quantity,category,description,production_date,rating,status
0,1,Сельдерей,5453,896,Овощи,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2006-06-10,3.6,New
1,2,Бифштекс,965,94,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,1991-07-10,3.54,Shipping
2,3,Отбивная,4259,134,Мясо,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2019-12-03,3.25,Out of Stock
3,4,Шубат,2836,216,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2008-05-01,3.38,Delivered
4,5,Курортная,1495,295,Напитки,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2019-07-09,4.68,Available for Pickup
5,6,Конина,1276,151,Мясо,"Подходит для использования в диетах, направленных на снижение веса.",2009-02-11,1.15,Shipping
6,7,Сметана,7717,317,Молочные продукты,Используется в косметологии для ухода за кожей и волосами.,2008-03-12,1.44,On Backorder
7,8,Солонина,4023,949,Мясо,Помогает поддерживать нормальный уровень pH в организме.,2003-03-08,4.05,On Backorder
8,9,Кристалл Байкала,1990,649,Напитки,"Подходит для приготовления как горячих, так и холодных блюд.",2002-07-07,2.44,Shipping
9,10,Верблюжье молоко,8691,783,Молочные продукты,Помогает поддерживать нормальный уровень глюкозы в крови.,2011-07-04,0.12,Sold
10,11,Ростовская-на-Дону,3670,469,Напитки,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2008-01-13,4.63,Pending
12,13,Баранина,3841,230,Мясо,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,1991-01-11,0.96,Delivered
13,14,Сушеные грибы,152,868,Бакалея,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2008-02-13,2.94,Backorder
14,15,Йогурт,4321,220,Молочные продукты,"Отличается длительным сроком годности, что позволяет делать запасы.",1996-02-02,4.85,Pending
15,16,Манго,3719,858,Фрукты,Рекомендуется для ежедневного потребления в умеренных количествах.,1992-01-12,1.24,Temporarily Unavailable
16,17,Цукини,3854,399,Овощи,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1999-05-05,0.34,Cancelled
17,18,Кристалл Байкала,8398,912,Напитки,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2022-02-02,4.45,Pending
18,19,Nestea,1287,512,Напитки,Помогает поддерживать нормальный уровень кислотности желудка.,2018-06-18,2.98,Out of Stock
19,20,Камамбер,3865,957,Молочные продукты,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,1998-01-23,2.05,Sold
20,21,Пакеты для Пасхи,7189,916,Товары для дома,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1994-04-03,0.76,Out of Stock
21,22,Черешня,1382,449,Фрукты,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2022-09-05,1.0,Out of Stock
22,23,Эндивий,6819,282,Овощи,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,1999-08-14,2.12,Out of Stock
23,24,Хурма,8372,979,Фрукты,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",1999-04-04,0.97,New
24,25,Каша из теффа,5235,509,Бакалея,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",1995-04-05,0.48,Pending
25,26,Скалки,9181,781,Товары для дома,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2010-01-11,0.8,Pending
26,27,Банан,7962,111,Фрукты,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2013-01-19,3.25,New
27,28,Груша,7704,294,Фрукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,1990-01-04,3.04,Backorder
28,29,Пакеты для Дня благодарения,5339,901,Товары для дома,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2006-06-02,4.61,Available for Pickup
29,30,Гранат,2671,805,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2007-06-05,4.35,Refunded
30,31,Реутовская,9867,741,Напитки,Помогает нормализовать артериальное давление и уровень холестерина.,2012-01-15,3.75,Backorder
31,32,Шадринская,6227,358,Напитки,Помогает поддерживать нормальный уровень гемоглобина в крови.,2009-06-11,3.57,Awaiting Review
32,33,Шелковица,343,313,Фрукты,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",1993-02-01,4.82,On Backorder
33,34,Шубат,1451,724,Молочные продукты,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1992-02-28,2.68,New
34,35,Петрушка корневая,7766,582,Овощи,Может использоваться в детском питании начиная с раннего возраста.,2004-05-07,3.17,Shipping
35,36,Судакская,2278,291,Напитки,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2011-07-02,4.99,Sold
36,37,Томаты в собственном соку,4700,971,Бакалея,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",1996-03-13,3.44,Available for Pickup
37,38,Камамбер,7028,390,Молочные продукты,Помогает поддерживать нормальный уровень артериального давления.,1992-03-03,1.67,Out of Stock
38,39,Паштет,420,716,Мясо,Помогает поддерживать нормальный уровень электролитов в организме.,2008-07-02,4.9,Backorder
39,40,Топинамбур,1508,651,Овощи,Помогает укрепить иммунную систему и защитить организм от инфекций.,1995-07-08,2.29,In Stock
40,41,Сгущенное молоко,8429,815,Бакалея,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2004-06-02,2.76,Out of Stock
41,42,Сергиево-Посадская,7350,161,Напитки,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",1995-03-04,4.41,New
42,43,Сок ананасовый,2258,187,Напитки,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2012-05-02,4.63,Returned
43,44,Ройбос,1951,935,Напитки,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2018-01-01,1.07,Temporarily Unavailable
44,45,Сок яблочный,972,240,Напитки,Помогает улучшить работу мозга и повысить концентрацию внимания.,2012-02-14,4.02,Out of Stock
45,46,Пепперони,2517,840,Мясо,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2014-01-03,1.39,Temporarily Unavailable
46,47,Тако с мясом,9701,123,Мясо,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2014-01-03,2.87,Backorder
47,48,Ромштекс,5743,596,Мясо,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2005-01-11,3.0,Delivered
49,50,Вяленое мясо,735,307,Мясо,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2004-09-03,1.41,Delivered
50,51,Черешня,1725,553,Фрукты,Отличается натуральным составом и отсутствием искусственных добавок.,2017-02-05,0.19,New
51,52,Пепперони,2932,491,Мясо,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,1996-07-02,0.14,Delivered
52,53,Нарзан,7616,312,Напитки,Является важным компонентом рациона для поддержания гормонального баланса.,2001-04-17,0.67,Backorder
53,54,Феодосийская,997,179,Напитки,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,1998-01-05,2.03,Shipping
54,55,Реутовская,7709,492,Напитки,Отличается гипоаллергенностью и безопасностью для большинства людей.,1990-06-21,0.22,Delivered
55,56,Чувашская,9169,361,Напитки,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1990-04-17,4.15,In Stock
56,57,San Pellegrino,1640,924,Напитки,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2015-04-01,0.34,On Backorder
57,58,Брюква,7321,493,Овощи,Рекомендуется для ежедневного потребления в умеренных количествах.,2021-09-09,2.1,Out of Stock
58,59,Розмарин сушеный,9567,254,Бакалея,"Является источником антиоксидантов, замедляющих процессы старения.",2016-08-04,0.62,Refunded
61,62,Каша из киноа,2852,239,Бакалея,Отличается хорошей совместимостью с другими продуктами питания.,1997-02-10,4.7,Cancelled
62,63,Пакеты для охоты,290,795,Товары для дома,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2003-01-14,4.61,Awaiting Review
64,65,Куриные грудки,7870,86,Мясо,Способствует поддержанию нормальной микрофлоры кишечника.,1992-06-01,3.3,Backorder
65,66,Ванилин,5563,123,Бакалея,"Подходит для использования в диетах, направленных на снижение веса.",2005-01-19,1.45,Shipping
66,67,Окорок,9470,243,Мясо,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2013-01-27,3.3,New
67,68,Плечо,9632,848,Мясо,Является важным компонентом сбалансированного рациона питания.,2022-01-04,4.61,Pending
68,69,Пакеты для походов,382,749,Товары для дома,Способствует улучшению работы пищеварительной системы.,2014-05-03,2.84,Out of Stock
69,70,Пахта,9495,386,Молочные продукты,Помогает поддерживать нормальный уровень артериального давления.,2021-02-11,3.81,Sold
70,71,Прошутто,508,730,Мясо,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2016-02-01,2.08,Shipping
71,72,Горох,6345,742,Овощи,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1999-06-03,0.72,Available for Pickup
72,73,Хинкали,4008,489,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1995-01-02,3.22,Awaiting Review
73,74,Фета,9514,197,Молочные продукты,"Подходит для людей всех возрастов, включая детей и пожилых.",2015-04-25,3.74,Temporarily Unavailable
74,75,Липецкий бювет,5565,636,Напитки,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2007-01-03,2.63,Delivered
75,76,Пакеты для Дня матери,4063,641,Товары для дома,Отличается легкостью в переваривании и усвоении организмом.,2007-02-10,3.36,On Backorder
76,77,Инжир,2691,738,Фрукты,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2003-03-01,0.28,Backorder
77,78,Пакеты для пикников,7234,693,Товары для дома,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2019-09-13,0.19,Backorder
78,79,Каймак,1445,256,Молочные продукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2005-07-03,0.04,Returned
79,80,Чизбургеры,6768,930,Мясо,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2015-01-10,4.34,Cancelled
80,81,Смузи бананово-клубничный,9675,856,Напитки,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2016-04-19,0.64,Out of Stock
82,83,Каша из дробленой пшеницы,5614,498,Бакалея,Помогает поддерживать оптимальный вес и форму тела.,1997-01-07,0.69,New
83,84,Полотенца для рук,3554,465,Товары для дома,Отличается хорошей совместимостью с другими продуктами питания.,2004-01-02,3.64,Returned
84,85,Голландский сыр,6999,178,Молочные продукты,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2015-03-03,1.96,Sold
85,86,Мандарин,2604,791,Фрукты,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2004-02-15,4.89,Returned
86,87,Клюква,8855,928,Фрукты,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2020-04-09,3.84,Sold
87,88,Алуштинская,7360,333,Напитки,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2022-02-21,3.23,New
88,89,Помело,6698,961,Фрукты,Помогает поддерживать здоровый цвет лица и упругость кожи.,1995-02-03,2.13,Temporarily Unavailable
91,92,Пастернак,8010,659,Овощи,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,1991-05-03,2.93,Out of Stock
92,93,Камамбер,6197,147,Молочные продукты,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",1993-06-03,0.98,Sold
93,94,Рис,6041,960,Бакалея,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",1994-03-11,0.52,Sold
94,95,Спаржа,6579,177,Овощи,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1992-12-09,1.04,Shipping
95,96,Нафтуся,6731,236,Напитки,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2013-01-06,2.26,Awaiting Review
96,97,Пахта,2379,590,Молочные продукты,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2015-02-04,3.82,Available for Pickup
97,98,Горох,2127,999,Овощи,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1999-06-03,0.59,Shipping
98,99,Йогурт,2213,775,Молочные продукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2017-04-02,0.8,Backorder
99,100,Шубат,1905,231,Молочные продукты,Подходит для использования в рационе людей с повышенным давлением.,1996-05-05,4.85,In Stock
100,101,Pepsi Max,2907,135,Напитки,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,1995-01-26,4.98,Cancelled
101,102,Печень,6600,553,Мясо,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",1993-05-01,3.29,Pending
102,103,Черника,3039,835,Фрукты,Является неотъемлемой частью рациона многих народов мира.,2005-01-08,4.61,Temporarily Unavailable
103,104,Чизбургеры,1439,244,Мясо,Отличается высоким уровнем биологической доступности питательных веществ.,2002-01-01,1.59,Temporarily Unavailable
104,105,Пастернак,7883,492,Овощи,Помогает поддерживать нормальный уровень электролитов в организме.,2008-02-07,1.43,Pending
105,106,Стаканы,7391,150,Товары для дома,Отличается простотой в использовании и хранении.,2016-11-11,3.44,Returned
106,107,Одеяла,4617,819,Товары для дома,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2001-02-23,3.15,New
107,108,Ряженка,2668,327,Молочные продукты,Придает блюдам особую нежность и насыщенность.,1995-01-24,3.01,Delivered
108,109,Сгущенное молоко,8308,472,Бакалея,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",1992-01-01,2.59,Refunded
109,110,Крыжовник,6506,623,Фрукты,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2007-06-02,1.2,Sold
110,111,Панчетта,9658,598,Мясо,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",1995-07-07,3.19,Refunded
111,112,Инжир,2498,745,Фрукты,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",1996-01-15,2.91,Sold
112,113,Кабачок,693,367,Овощи,Подходит для людей с чувствительным пищеварением.,2022-06-13,3.41,Returned
113,114,Полотенца для рук,8293,437,Товары для дома,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2007-03-04,3.25,New
114,115,Пакеты для животных,5221,345,Товары для дома,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2018-03-01,1.66,Shipping
115,116,Уральская,7471,468,Напитки,Помогает поддерживать здоровый цвет лица и упругость кожи.,2000-01-01,1.64,Backorder
116,117,Фета,5895,306,Молочные продукты,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",1991-01-21,4.9,Delivered
117,118,Чеснок,3625,481,Овощи,Помогает улучшить работу мозга и повысить концентрацию внимания.,1997-03-10,1.03,Available for Pickup
118,119,Швабра,2115,632,Товары для дома,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2017-05-03,0.07,Returned
119,120,Смоленская,4218,389,Напитки,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1992-01-03,2.18,Sold
120,121,Свинина,2848,736,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2019-04-04,4.55,Sold
121,122,Озеро Медвежье,6294,447,Напитки,Помогает улучшить работу мозга и повысить концентрацию внимания.,2014-01-05,2.08,New
122,123,Анапская,6077,344,Напитки,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2005-02-18,2.53,Awaiting Review
123,124,Айран,7415,201,Молочные продукты,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2006-02-06,2.52,Sold
124,125,Куриные крылышки,7778,258,Мясо,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2013-02-10,4.09,Shipping
125,126,Абрикос,1818,827,Фрукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2005-07-12,2.6,Temporarily Unavailable
126,127,Одеяла,7339,321,Товары для дома,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",1998-03-04,3.3,Available for Pickup
127,128,Чай зеленый,7204,219,Бакалея,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2007-11-03,0.87,Pending
129,130,Грейпфрут,7759,328,Фрукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1994-01-02,1.75,Out of Stock
130,131,Пакеты для пляжа,2518,872,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1999-07-04,1.57,Available for Pickup
131,132,Шубат,2383,348,Молочные продукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1998-01-01,2.91,Awaiting Review
132,133,Индюшатина,3589,409,Мясо,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2003-05-15,3.83,Pending
133,134,Каша из манной крупы,7284,286,Бакалея,Способствует нормализации обмена веществ в организме.,2019-01-07,2.33,Cancelled
134,135,Дыня,1620,428,Фрукты,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2018-11-12,4.75,Backorder
135,136,Цветная капуста,577,24,Овощи,"Отличается длительным сроком годности, что позволяет делать запасы.",2016-01-05,4.35,Available for Pickup
136,137,Aquafina,9498,417,Напитки,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2001-02-02,1.34,Shipping
137,138,Шпинат,148,302,Овощи,Подходит для использования в рецептах традиционной кухни разных стран.,2012-01-01,4.49,Pending
138,139,Сметана,6581,19,Молочные продукты,Помогает укрепить иммунную систему и защитить организм от инфекций.,2004-03-02,4.73,Sold
139,140,Мытищинская,7561,348,Напитки,"Является источником важных микроэлементов, таких как магний и калий.",2009-08-03,1.0,Shipping
140,141,Чебуреки,8853,805,Мясо,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",1994-01-01,2.89,Pending
141,142,Турнепс,4283,861,Овощи,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",1991-04-03,2.83,Sold
142,143,Фейхоа,5484,92,Фрукты,Служит основой для создания множества кулинарных шедевров.,1994-06-06,0.83,Refunded
143,144,Масло сливочное,6823,687,Молочные продукты,Широко используется в традиционной и современной кухне.,2007-01-01,4.02,Sold
144,145,Уральская,5730,175,Напитки,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2011-01-26,2.44,Backorder
145,146,Катык,3954,472,Молочные продукты,Помогает улучшать качество сна и снижать уровень тревожности.,1993-02-18,0.53,Returned
146,147,Черешня,4551,894,Фрукты,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",1993-07-18,1.25,Refunded
147,148,Сок морковный,898,787,Напитки,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,1993-02-08,0.12,Out of Stock
148,149,Клюква,6932,554,Фрукты,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2014-04-12,2.0,Shipping
149,150,Конина,1320,359,Мясо,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2005-09-07,3.33,Out of Stock
150,151,Новый свет,3882,874,Напитки,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2019-01-15,3.98,Out of Stock
151,152,Мацони,5697,511,Молочные продукты,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2013-02-13,2.41,Temporarily Unavailable
152,153,Айва,3346,306,Фрукты,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",1990-01-12,2.4,Sold
153,154,Пакеты для садовых работ,5316,41,Товары для дома,Помогает поддерживать нормальный уровень эстрогенов у женщин.,1996-07-09,0.64,Cancelled
154,155,Пакеты для документов,4244,121,Товары для дома,Отличается высокой питательностью и способен быстро утолить голод.,1994-05-02,1.02,Temporarily Unavailable
155,156,Мята перечная сушеная,8845,557,Бакалея,Помогает поддерживать здоровый цвет лица и упругость кожи.,2021-09-01,1.96,Awaiting Review
156,157,Сушеные грибы,566,936,Бакалея,Отличается простотой в использовании и хранении.,2010-02-02,5.0,Awaiting Review
158,159,Хабаровская,2752,630,Напитки,Является важным компонентом сбалансированного рациона питания.,1994-09-23,3.39,Cancelled
159,160,Павловская,8479,606,Напитки,Может использоваться в косметических процедурах для увлажнения кожи.,2021-05-04,2.82,Awaiting Review
160,161,Пакеты для Всемирного дня музыки,6812,692,Товары для дома,Прошел все необходимые сертификации и соответствует международным стандартам.,2011-02-07,3.2,On Backorder
161,162,Азовская,4318,242,Напитки,Отличается высокой питательностью и способен быстро утолить голод.,1997-04-14,0.43,Pending
162,163,Кефир,8023,831,Молочные продукты,Способствует поддержанию нормальной микрофлоры кишечника.,2016-01-01,0.77,Pending
163,164,Каймак,4833,790,Молочные продукты,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2016-01-18,0.5,Refunded
164,165,Щавель,3413,696,Овощи,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2019-02-14,4.54,Returned
165,166,Гауда,3268,525,Молочные продукты,Широко используется в традиционной и современной кухне.,1992-11-02,4.5,New
166,167,Косулятина,4715,947,Мясо,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2004-04-23,1.29,Shipping
167,168,Черный перец горошком,5811,873,Бакалея,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2004-02-09,2.44,Sold
168,169,Мороженое,1626,341,Молочные продукты,"Подходит для людей всех возрастов, включая детей и пожилых.",1993-02-05,3.82,Sold
169,170,Сыр,7146,326,Молочные продукты,Способствует нормализации обмена веществ в организме.,2016-03-02,4.2,Out of Stock
170,171,Томатная паста,7276,98,Бакалея,"Является источником витаминов группы B, необходимых для энергетического обмена.",2013-07-04,2.1,Refunded
171,172,Морковь,6908,458,Овощи,Помогает поддерживать нормальный уровень сахара в крови.,2003-04-09,2.18,Sold
172,173,Клюква,7498,369,Фрукты,"Является источником антиоксидантов, замедляющих процессы старения.",1995-02-04,0.32,Available for Pickup
173,174,Пакеты для дня рождения,3621,480,Товары для дома,Отличается натуральным составом и отсутствием искусственных добавок.,2012-02-20,0.28,Out of Stock
174,175,Читинская,9094,915,Напитки,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2016-03-01,1.51,Sold
175,176,Топлёное молоко,872,209,Молочные продукты,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2013-02-14,0.01,New
176,177,Пиво безалкогольное,7005,719,Напитки,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2020-09-11,2.3,Backorder
177,178,Вымя,1727,890,Мясо,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1994-10-17,4.44,Refunded
178,179,Инжир,6390,889,Фрукты,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2002-01-05,3.51,On Backorder
179,180,Камут,5162,630,Бакалея,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2000-07-02,4.06,Delivered
180,181,Черешня,4012,242,Фрукты,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2001-02-01,1.28,Backorder
181,182,Чеддер,1723,349,Молочные продукты,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1990-01-09,3.99,In Stock
182,183,Кокос,8034,580,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2015-01-06,2.22,Cancelled
